goos: linux
goarch: amd64
pkg: github.com/TomTonic/Set3
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#05-24      	255588748	        13.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#06-24      	181889738	        19.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#07-24      	194041818	        18.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#08-24      	222401857	        16.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#09-24      	223552308	        15.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)-24         	255194404	        14.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#01-24      	221621947	        15.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#02-24      	224250318	        15.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#03-24      	188932236	        18.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#04-24      	224944381	        15.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#05-24      	257299557	        13.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#06-24      	225016921	        15.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#07-24      	192555656	        18.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#08-24      	222332564	        15.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(5)#09-24      	226146946	        15.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)-24         	258657168	        13.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#01-24      	223805346	        15.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#02-24      	222101468	        15.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#03-24      	186036884	        19.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#04-24      	222917922	        15.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#05-24      	225960836	        15.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#06-24      	181567917	        19.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#07-24      	180191095	        19.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#08-24      	157846538	        23.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(6)#09-24      	213770366	        16.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)-24         	213596824	        16.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#01-24      	213252928	        16.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#02-24      	174115203	        20.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#03-24      	217964449	        16.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#04-24      	177013892	        19.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#05-24      	216937951	        16.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#06-24      	221263083	        16.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#07-24      	176302881	        19.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#08-24      	178147555	        20.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(7)#09-24      	181302910	        20.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)-24         	178211280	        19.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#01-24      	222199231	        16.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#02-24      	216583772	        16.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#03-24      	210150932	        16.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#04-24      	224294239	        17.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#05-24      	183967702	        19.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#06-24      	215495482	        16.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#07-24      	216599532	        16.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#08-24      	220420476	        16.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(8)#09-24      	224065388	        16.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)-24         	180207189	        19.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#01-24      	244571312	        15.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#02-24      	220515499	        16.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#03-24      	156433527	        23.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#04-24      	180618626	        19.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#05-24      	220272541	        16.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#06-24      	223168026	        16.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#07-24      	187351758	        19.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#08-24      	216394503	        17.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(9)#09-24      	217769617	        16.56 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/TomTonic/Set3	535.200s
